caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
10654,20.1,0,10,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",30.0 to 40.0 hours
10655,24.1,0,6,Female,"Single, never married",High school diploma or a high school equivalency certificate,Poor,"Less than $25,000",30.0 to 40.0 hours
10656,70.6,2,8,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
10657,80,0,8,Male,Divorced,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
10658,61.9,1,7,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",50.1 hours and more
10659,41.1,1,6,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",Valid skip
10660,25.6,0,7,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",40.1 to 50.0 hours
10661,26,0,8,Female,Living common-law,Trade certificate or diploma,Good,"$25,000 to $49,999",30.0 to 40.0 hours
10662,38.5,0,8,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
10663,64.6,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$75,000 to $99,999",0.1 to 29.9 hours
10664,62.8,1,8,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"$75,000 to $99,999",50.1 hours and more
10665,71.6,3,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$125,000 and more",0.1 to 29.9 hours
10666,39.2,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
10667,69.7,2,8,Female,Divorced,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
10668,59,2,8,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",Valid skip
10669,80,2,5,Female,Widowed,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
10670,56.7,2,7,Female,Divorced,Trade certificate or diploma,Good,"$25,000 to $49,999",30.0 to 40.0 hours
10671,34.4,0,8,Male,"Single, never married","University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",40.1 to 50.0 hours
10672,70.5,2,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
10673,35.4,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",40.1 to 50.0 hours
10674,38.9,2,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
10675,71.9,5,7,Female,Divorced,Less than high school diploma or its equivalent,Very good,"$50,000 to $74,999",Valid skip
10676,75.3,2,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",Valid skip
10677,76.8,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",Don't know
10678,70.3,2,7,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
10679,80,2,7,Male,Living common-law,"NA",Very good,"$50,000 to $74,999",Valid skip
10680,67.6,1,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
10681,48.6,2,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$125,000 and more",50.1 hours and more
10682,80,0,9,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
10683,66.3,3,7,Female,Separated,Less than high school diploma or its equivalent,Good,"Less than $25,000",Don't know
